participant_id,run_timestamp,block,block_idx,question_idx,question_key,question,response_percent
1,20260325_120141,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",78
1,20260325_120141,MANUAL,2,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",90
1,20260325_120141,AUTOMATION1,3,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",90
1,20260325_120141,AUTOMATION1,3,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",90
1,20260325_120141,AUTOMATION2,4,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",60
1,20260325_120141,AUTOMATION2,4,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",89
2,20260325_120617,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",77
2,20260325_120617,MANUAL,2,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",75
2,20260325_120617,AUTOMATION2,3,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",61
2,20260325_120617,AUTOMATION2,3,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",72
2,20260325_120617,AUTOMATION1,4,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",81
2,20260325_120617,AUTOMATION1,4,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",76
3,20260325_121052,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",92
3,20260325_121052,AUTOMATION1,2,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",60
3,20260325_121052,AUTOMATION1,2,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",60
3,20260325_121052,MANUAL,3,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",55
3,20260325_121052,AUTOMATION2,4,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",20
3,20260325_121052,AUTOMATION2,4,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",55
4,20260325_121644,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",60
4,20260325_121644,AUTOMATION1,2,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",75
4,20260325_121644,AUTOMATION1,2,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",50
4,20260325_121644,AUTOMATION2,3,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",60
4,20260325_121644,AUTOMATION2,3,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",25
4,20260325_121644,MANUAL,4,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",70
5,20260325_140546,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",78
5,20260325_140546,AUTOMATION2,2,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",86
5,20260325_140546,AUTOMATION2,2,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",88
5,20260325_140546,MANUAL,3,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",74
5,20260325_140546,AUTOMATION1,4,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",77
5,20260325_140546,AUTOMATION1,4,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",87
6,20260325_140431,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",80
6,20260325_140431,AUTOMATION2,2,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",53
6,20260325_140431,AUTOMATION2,2,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",85
6,20260325_140431,AUTOMATION1,3,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",90
6,20260325_140431,AUTOMATION1,3,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",77
6,20260325_140431,MANUAL,4,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",91
7,20260325_141148,CALIBRATION,1,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",70
7,20260325_141148,MANUAL,2,1,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",59
7,20260325_141148,AUTOMATION1,3,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",83
7,20260325_141148,AUTOMATION1,3,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",59
7,20260325_141148,AUTOMATION2,4,1,perc_auto_correct,"For the automation's recommendations, what percentage do you think were correct in the preceding block of trials?",66
7,20260325_141148,AUTOMATION2,4,2,perc_self_correct,"For your responses, what percentage do you think were correct in the preceding block of trials?",69
